age,married,orientation,religion,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,MarriedN,OrientationN,ReligionN
16,Never,Hetero,Other,1.0,7.0,7.0,7.0,7.0,5.0,1.0,4.0,2.0,4.0,4.0,1.0,1.0,1.0
16,Never,New Types,Christian Other,6.0,4.0,7.0,4.0,7.0,7.0,1.0,4.0,2.0,4.0,4.0,1.0,5.0,2.0
17,Never,Homo,Christian,2.0,2.0,2.0,6.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,1.0,2.0,3.0
13,Never,New Types,Christian,1.0,7.0,4.0,4.0,6.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,5.0,3.0
19,Never,Hetero,Muslim,2.0,3.0,6.0,5.0,5.0,6.0,3.0,2.0,3.0,4.0,4.0,1.0,1.0,4.0
20,Never,Hetero,Christian,2.0,6.0,1.0,7.0,7.0,2.0,6.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0
17,Never,Bi,Christian Other,2.0,6.0,5.0,2.0,1.0,3.0,5.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0
29,Never,Bi,Atheist,7.0,4.0,5.0,2.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0
16,Never,Bi,Other,1.0,5.0,7.0,7.0,1.0,7.0,1.0,4.0,3.0,4.0,4.0,1.0,4.0,1.0
18,Never,Bi,Atheist,1.0,5.0,7.0,7.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,1.0,4.0,5.0
15,Never,Hetero,Protestant,5.0,6.0,6.0,4.0,4.0,7.0,5.0,3.0,2.0,3.0,2.0,1.0,1.0,6.0
18,Never,Hetero,Protestant,6.0,6.0,6.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,6.0
20,Never,Hetero,Agnostic,5.0,4.0,6.0,5.0,7.0,6.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,7.0
31,Never,Hetero,Other,5.0,5.0,5.0,6.0,7.0,6.0,6.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0
34,Previously,Hetero,Agnostic,3.0,6.0,1.0,5.0,3.0,2.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0
17,Never,Bi,Agnostic,3.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,4.0,7.0
19,Never,Hetero,Christian Other,1.0,5.0,7.0,6.0,1.0,4.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0
18,Never,Hetero,Other,1.0,4.0,1.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
19,Never,Hetero,Atheist,2.0,7.0,1.0,5.0,4.0,7.0,6.0,3.0,2.0,2.0,1.0,1.0,1.0,5.0
19,Never,Bi,Christian,2.0,5.0,4.0,7.0,4.0,6.0,3.0,2.0,2.0,1.0,3.0,1.0,4.0,3.0
15,Never,Hetero,Christian,7.0,3.0,6.0,1.0,7.0,6.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0
15,Never,Hetero,Protestant,1.0,5.0,7.0,6.0,2.0,7.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,6.0
22,Never,Bi,Agnostic,3.0,5.0,5.0,5.0,2.0,3.0,1.0,3.0,3.0,4.0,4.0,1.0,4.0,7.0
19,Never,Hetero,Christian,1.0,5.0,6.0,6.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0
20,Never,Hetero,Christian Other,2.0,3.0,5.0,6.0,2.0,7.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0
16,Never,Asexual,Agnostic,1.0,5.0,7.0,7.0,1.0,6.0,1.0,4.0,4.0,4.0,4.0,1.0,3.0,7.0
15,Never,Hetero,Christian Other,4.0,7.0,7.0,2.0,1.0,5.0,1.0,4.0,4.0,3.0,4.0,1.0,1.0,2.0
16,Never,Bi,Christian Other,7.0,1.0,7.0,1.0,2.0,7.0,3.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0
19,Never,Bi,Agnostic,1.0,6.0,6.0,7.0,1.0,7.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,7.0
16,Never,New Types,Agnostic,3.0,5.0,1.0,5.0,1.0,5.0,6.0,1.0,2.0,1.0,1.0,1.0,5.0,7.0
19,Never,Hetero,Hindu,5.0,4.0,6.0,6.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,8.0
18,Never,Hetero,Atheist,5.0,5.0,5.0,7.0,7.0,5.0,5.0,2.0,2.0,1.0,4.0,1.0,1.0,5.0
42,Never,Hetero,Protestant,6.0,2.0,1.0,6.0,7.0,6.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,6.0
15,Never,Hetero,Agnostic,5.0,5.0,4.0,2.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,7.0
17,Never,Hetero,Agnostic,5.0,6.0,2.0,6.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,7.0
17,Never,Bi,Agnostic,5.0,6.0,5.0,7.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,7.0
17,Never,Bi,Agnostic,5.0,6.0,5.0,7.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,7.0
21,Never,Bi,Christian,5.0,2.0,6.0,5.0,7.0,3.0,2.0,4.0,1.0,2.0,3.0,1.0,4.0,3.0
23,Never,Hetero,Atheist,2.0,6.0,6.0,7.0,2.0,5.0,4.0,1.0,2.0,4.0,2.0,1.0,1.0,5.0
17,Never,Hetero,Muslim,7.0,2.0,4.0,5.0,1.0,4.0,3.0,2.0,3.0,3.0,4.0,1.0,1.0,4.0
26,Never,Hetero,Christian Other,5.0,6.0,2.0,4.0,3.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
43,Never,Hetero,Christian,7.0,7.0,1.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
16,Never,Bi,Agnostic,4.0,4.0,7.0,5.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,1.0,4.0,7.0
17,Never,Bi,Atheist,2.0,3.0,6.0,6.0,4.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,5.0
16,Never,Bi,Agnostic,5.0,2.0,5.0,6.0,1.0,6.0,1.0,3.0,2.0,2.0,2.0,1.0,4.0,7.0
13,Never,Hetero,Atheist,1.0,4.0,3.0,6.0,1.0,3.0,7.0,3.0,1.0,2.0,2.0,1.0,1.0,5.0
35,Married,Hetero,Agnostic,1.0,7.0,6.0,7.0,7.0,1.0,6.0,3.0,3.0,3.0,4.0,3.0,1.0,7.0
25,Never,Hetero,Other,6.0,3.0,5.0,5.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
16,Never,Homo,Christian,3.0,4.0,7.0,4.0,1.0,5.0,2.0,4.0,4.0,4.0,4.0,1.0,2.0,3.0
16,Never,Homo,Christian,5.0,4.0,6.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,1.0,2.0,3.0
24,Never,Hetero,Agnostic,4.0,5.0,6.0,4.0,4.0,2.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,7.0
16,Never,Homo,Muslim,2.0,3.0,1.0,7.0,3.0,7.0,7.0,2.0,3.0,2.0,4.0,1.0,2.0,4.0
18,Never,Bi,Atheist,3.0,5.0,6.0,6.0,1.0,5.0,2.0,3.0,4.0,4.0,4.0,1.0,4.0,5.0
18,Never,Bi,Atheist,3.0,5.0,6.0,6.0,2.0,5.0,2.0,3.0,4.0,4.0,4.0,1.0,4.0,5.0
24,Never,Hetero,Agnostic,3.0,3.0,4.0,7.0,3.0,4.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,7.0
